"Ejercicio","Nombre Mes","Mes","Entidad","Código Entidad","Programa","Código Programa","Devengado","Código Unidad Ejecutora","Unidad Ejecutora"
"2017","MARZO","3","MINISTERIO DE RELACIONES   EXTERIORES","11130004","ACTIVIDADES CENTRALES","1","4741675.68","0","MINISTERIO DE RELACIONES   EXTERIORES"
"2017","MARZO","3","MINISTERIO DE RELACIONES   EXTERIORES","11130004","CONSERVACIÓN Y DEMARCACIÓN DE LÍMITES INTERNACIONALES DEL TERRITORIO NACIONAL","13","860629.65","0","MINISTERIO DE RELACIONES   EXTERIORES"
"2017","MARZO","3","MINISTERIO DE RELACIONES   EXTERIORES","11130004","PARTIDAS NO ASIGNABLES A PROGRAMAS","99","9691837.49","0","MINISTERIO DE RELACIONES   EXTERIORES"
"2017","MARZO","3","MINISTERIO DE RELACIONES   EXTERIORES","11130004","SERVICIOS CONSULARES Y DE ATENCIÓN AL MIGRANTE","11","5606844.49","0","MINISTERIO DE RELACIONES   EXTERIORES"
"2017","MARZO","3","MINISTERIO DE RELACIONES   EXTERIORES","11130004","SERVICIOS DE POLÍTICA EXTERIOR","12","14630219.89","0","MINISTERIO DE RELACIONES   EXTERIORES"
"2017","MARZO","3","MINISTERIO DE GOBERNACIÓN","11130005","ACTIVIDADES CENTRALES","1","8359484.7","201","DIRECCION DE SERVICIOS ADMINISTRATIVOS Y FINANCIEROS"
"2017","MARZO","3","MINISTERIO DE GOBERNACIÓN","11130005","SERVICIOS DE CUSTODIA Y REHABILITACIÓN DE PRIVADOS DE LIBERTAD","12","34145811.01","210","DIRECCION GENERAL DEL SISTEMA PENITENCIARIO"
"2017","MARZO","3","MINISTERIO DE GOBERNACIÓN","11130005","SERVICIOS DE DIVULGACIÓN OFICIAL","14","2908588.83","212","DIRECCION GENERAL DEL DIARIO DE CENTRO AMERICA Y TIPOGRAFIA NACIONAL"
"2017","MARZO","3","MINISTERIO DE GOBERNACIÓN","11130005","SERVICIOS DE GOBIERNO DEPARTAMENTAL Y REGISTRO DE PERSONAS JURÍDICAS","15","127175.33","222","GOBERNACION DEPARTAMENTAL DE TOTONICAPAN"
"2017","MARZO","3","MINISTERIO DE GOBERNACIÓN","11130005","SERVICIOS DE GOBIERNO DEPARTAMENTAL Y REGISTRO DE PERSONAS JURÍDICAS","15","199428.13","223","GOBERNACION DEPARTAMENTAL DE QUETZALTENANGO"
